Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
392,Staff Survey,Newhaven,EH5 3BP,325221,676976,04/09/2013,
393,Staff Survey,Granton,EH5 2EQ,323852,676236,04/09/2013,
394,Staff Survey,Gilmerton,EH17 7JJ,328558,669424,04/09/2013,
395,Staff Survey,Newington,EH9 1QB,326272,672356,04/09/2013,
396,Staff Survey,Willowbrae,EH8 7JL,328424,673495,04/09/2013,
397,Staff Survey,Corstorphine,EH12 7NF,320130,672024,04/09/2013,
398,Staff Survey,Currie,EH14 5JB,318803,668371,04/09/2013,
399,Staff Survey,Trinity,EH5 3ND,324564,676374,04/09/2013,
400,Staff Survey,South Queensferry,EH30 9HZ,313278,678073,04/09/2013,
401,Staff Survey,Tollcross,EH3 9NL,324635,672596,04/09/2013,
402,Staff Survey,Marionville,eh7 6an,328233,674512,04/09/2013,
403,Staff Survey,Willowbrae/Northfield/Paisleys/Ulsters,eh8 7lb,328768,673604,04/09/2013,
404,Staff Survey,Gorgie,EH11 1AP,322917,672179,04/09/2013,
405,Staff Survey,Leith,EH6 8BX,327522,675281,04/09/2013,
406,Staff Survey,Newhaven,EH6 4SL,325279,676560,04/09/2013,
408,Staff Survey,Stockbridge,EH3 5BE,324903,674756,04/09/2013,
409,Staff Survey,Trinity,EH6 4TJ,325276,676434,04/09/2013,
410,Staff Survey,Currie,EH14 5HD,318862,668450,04/09/2013,
411,Staff Survey,Leith,eh6 8qb,327012,675468,04/09/2013,
412,Staff Survey,Murieston/Gorgie/Dalry,EH11 2JH,323487,672518,04/09/2013,
413,Staff Survey,Roseburn,EH12 5NP,322969,673117,04/09/2013,
414,Staff Survey,Blackford,EH9 3HT,325791,671046,04/09/2013,
415,Staff Survey,Trinity,eh5 3dl,325256,676662,04/09/2013,
416,Staff Survey,Morningside,EH10 5HJ,324411,671080,04/09/2013,
417,Staff Survey,Morningside,EH10 5QH,324403,670704,04/09/2013,
418,Staff Survey,Fairmilehead,EH10 7AQ,324967,668347,04/09/2013,
419,Staff Survey,Wester Hailes,EH14 3JG,320016,669480,04/09/2013,
420,Staff Survey,Dalry,EH11 2HY,323632,672791,04/09/2013,
421,Staff Survey,Polwarth,EH11 1HZ,323805,672242,04/09/2013,
422,Staff Survey,Leith,EH6 8DD,327535,675463,04/09/2013,
424,Staff Survey,Mountcastle,EH8 7RB,329490,673651,04/09/2013,
425,Staff Survey,The Inch,EH16 5SW,328288,670236,04/09/2013,
426,Staff Survey,Corstorphine,Eh12 8ja,318138,673280,04/09/2013,
427,Staff Survey,Leith,eh6 7pr,328176,675582,04/09/2013,
429,Staff Survey,Longstone,EH14 2DE,321323,670747,04/09/2013,
430,Staff Survey,The Grange,EH9 2LZ,326188,671338,04/09/2013,
433,Staff Survey,Gorgie,EH11 2PG,322889,672347,04/09/2013,
434,Staff Survey,Dalry,EH11 2AD,323961,672896,04/09/2013,
435,Staff Survey,Colinton Village,EH13 0JS,321499,669005,04/09/2013,
436,Staff Survey,East Craigs,EH12 8TZ,318288,673761,04/09/2013,
437,Staff Survey,Balerno,Eh14 7NA,315720,665984,04/09/2013,
438,Staff Survey,Restalrig,EH7 6HH,328234,675361,04/09/2013,
439,Staff Survey,Stockbridge,eh3 6tu,324558,674381,04/09/2013,
440,Staff Survey,Granton/Boswall,EH5 2HP,323540,676239,04/09/2013,
441,Staff Survey,Duddingston,EH8 7NX,328611,672824,04/09/2013,
